Local time,Open,High,Low,Close,Volume
02.01.2018,5678,5985,5638,5840,2206.1027000000004
03.01.2018,5841,5995,5690,5751,2156.803
08.01.2018,6177,6219,6027,6099,1758.5390000000002
09.01.2018,6099,6415,6084,6372,1860.5312000000004
10.01.2018,6377,6650,6363,6580,2125.9013999999997
11.01.2018,6580,7391,6573,7058,2457.0156
14.01.2018,7060,7449,6933,7228,2495.7732
17.01.2018,7353,7443,6949,7124,2968.9963
18.01.2018,7121,7226,6925,7074,2850.9311
21.01.2018,7074,7882,7035,7257,2970.3563000000004
22.01.2018,7253,7489,7054,7121,2603.4202
23.01.2018,7121,7345,6414,6580,2388.1151000000004
28.01.2018,5891,6813,5603,6505,3294.0697
29.01.2018,6505,6748,6400,6589,3220.6299
30.01.2018,6589,7344,6542,7290,2297.8123
31.01.2018,7290,7894,7115,7891,2077.5408999999995
01.02.2018,7891,7996,7532,7697,2269.1979
06.02.2018,8018,8291,7943,8240,1477.9403000000004
07.02.2018,8240,8374,7798,8132,1776.5479
08.02.2018,8131,8303,7971,8202,1609.2197000000003
11.02.2018,8202,8280,8091,8164,1731.0228
12.02.2018,8164,8327,7872,8249,1696.1312999999998
15.02.2018,9450,9746,9276,9651,1853.0558
18.02.2018,9649,9975,9553,9944,1546.7576
19.02.2018,9922,11433,8980,10187,2690.7063000000007
20.02.2018,10189,10811,9011,9660,4038.433
21.02.2018,9645,10940,9373,10897,3333.5946000000004
26.02.2018,10915,11582,10500,11500,2576.119
27.02.2018,11501,11864,11451,11776,2083.2272
28.02.2018,11776,13459,11695,13309,2490.4332000000004
01.03.2018,13329,16784,13328,16046,2485.5785
04.03.2018,16042,17021,13865,15640,333.9893
07.03.2018,14574,17424,14524,17147,2035.2949
08.03.2018,17147,17577,16293,17236,1031.4222
11.03.2018,17233,17620,15741,16751,1852.8635
12.03.2018,16751,17101,16029,16502,1855.1963
13.03.2018,16514,17957,16282,17629,1036.9960999999998
18.03.2018,18980,19510,18118,18674,2431.8313
19.03.2018,18674,19002,16728,16942,2296.0698
20.03.2018,16923,17835,15786,16205,3010.2309
21.03.2018,16207,17339,14853,15385,1875.6298
22.03.2018,15389,15825,10772,14234,392.1438
27.03.2018,13123,14623,12973,13845,612.5449
28.03.2018,13757,16131,13665,15921,3225.3937
29.03.2018,15921,16499,14604,15173,2663.4432
01.04.2018,15187,15489,13498,13934,2131.2201000000005
02.04.2018,13939,15093,13920,14308,3027.7953
08.04.2018,13496,15197,12921,14728,851.3607999999999
09.04.2018,14755,15374,14556,15018,890.0259000000002
10.04.2018,15006,15367,14167,14894,881.6243999999999
11.04.2018,14892,16880,14786,16782,912.5526
16.04.2018,16140,16408,13865,14896,897.0608
17.04.2018,14886,15321,14110,14491,746.722
18.04.2018,14460,14649,13388,14444,836.3498000000001
19.04.2018,14454,14914,12744,13416,765.6945999999999
22.04.2018,13456,14066,12783,13697,756.7695
25.04.2018,13357,14274,13342,13854,777.0877
26.04.2018,13838,13873,10308,10648,673.8593999999999
29.04.2018,10530,11721,9125,11333,806.8767
30.04.2018,11311,12007,10546,11473,1058.6212
01.05.2018,11472,11885,10840,11310,1255.6008
06.05.2018,11322,11832,9980,10302,1426.9963000000002
07.05.2018,10289,11338,9908,10932,1413.8550000000002
08.05.2018,10934,11445,10447,11166,1202.2512000000002
09.05.2018,11156,11662,10847,11201,1031.3533999999995
10.05.2018,11205,11564,10261,10847,1051.3903
15.05.2018,11725,11734,10995,11206,6.2738000000000005
16.05.2018,11190,11206,9756,10101,8.0322
17.05.2018,10095,10343,9584,9965,7.9079
20.05.2018,9957,10199,8601,9076,8.523100000000001
21.05.2018,9085,9187,7564,8535,8.5823
24.05.2018,8018,8370,6541,7067,350.72530000000006
27.05.2018,7098,7884,5882,7711,1239.9699999999998
28.05.2018,7715,8538,7140,8038,1077.36
29.05.2018,8031,8580,7487,8130,942.8999999999996
30.05.2018,8124,8677,7706,8505,820.0100000000001
04.06.2018,8242,8854,7970,8784,269.8124
05.06.2018,8784,8928,8313,8500,813.7500000000001
06.06.2018,8511,9309,8430,9233,884.0599999999997
07.06.2018,9226,10162,9192,9813,973.78
10.06.2018,9850,10236,9645,10028,878.26
13.06.2018,10698,11194,10264,11027,903.69
14.06.2018,11049,11689,11002,11650,885.97
17.06.2018,11651,11716,10189,10220,1086.7899999999995
18.06.2018,10245,10869,9674,9847,1030.91
19.06.2018,9840,10353,9532,9860,1178.7425
24.06.2018,9535,10392,9323,10321,1327.3674999999998
25.06.2018,10321,10801,10083,10701,1426.3075000000003
26.06.2018,10703,11009,10334,10471,1369.51
27.06.2018,10479,11026,10170,10877,783.49
28.06.2018,10876,11118,10732,10970,771.34
03.07.2018,11367,11621,11281,11517,619.5199999999999
04.07.2018,11521,11564,10517,10740,725.3399999999999
05.07.2018,10740,10844,9390,9892,853.9999999999999
08.07.2018,9897,10064,9033,9296,858.33
09.07.2018,9284,9374,8336,9049,990.54
12.07.2018,9496,9855,8744,8977,702.7900000000001
15.07.2018,8978,9432,8809,9018,745.43
16.07.2018,9017,9310,8169,8266,724.6500000000001
17.07.2018,8266,8376,7633,8214,818.0499999999998
18.07.2018,8214,8560,7873,8486,717.6199999999999
23.07.2018,8159,8677,8012,8380,783.73
24.07.2018,8380,8958,8282,8839,974.14
25.07.2018,8839,9097,8681,8813,1567.5375
26.07.2018,8813,9012,8415,8521,1626.0224999999998
29.07.2018,8521,8691,8213,8542,1523.5524999999998
01.08.2018,8547,8570,7783,7814,1532.7025
02.08.2018,7817,8185,7669,7915,1921.3525
05.08.2018,7919,8024,7658,7824,1602.32
06.08.2018,7825,7924,7027,7027,1756.0250000000003
07.08.2018,7027,7250,6516,6793,2681.025
12.08.2018,6749,7041,6687,6859,1614.755
13.08.2018,6863,7435,6851,7329,1590.3725
14.08.2018,7328,7371,6659,6758,1613.5925000000002
15.08.2018,6766,6842,6507,6678,1920.5
16.08.2018,6677,6774,6438,6530,1578.1950000000002
21.08.2018,6923,7102,6545,6592,856.3499999999999
22.08.2018,6592,6794,6587,6767,818.6724999999998
23.08.2018,6767,6891,6712,6821,900.1500000000001
26.08.2018,6819,7945,6688,7658,1451.2575
27.08.2018,7663,8147,7637,7821,1941.15
30.08.2018,8232,8337,7831,7914,1489.1649999999995
02.09.2018,7914,8086,7754,7845,1439.77
03.09.2018,7845,8158,7797,8116,857.8050000000001
04.09.2018,8118,8221,8027,8161,1140.295
05.09.2018,8161,8485,8146,8450,1330.8725
10.09.2018,8841,8924,8688,8859,1418.84
11.09.2018,8857,9390,8846,9377,1496.3300000000004
12.09.2018,9381,9683,8692,9000,2124.9375
13.09.2018,9000,9101,8588,9045,1762.4824999999996
16.09.2018,9038,9303,8884,8902,1475.8300000000002
19.09.2018,9251,9374,9048,9201,1075.8424999999995
20.09.2018,9201,9206,8763,8947,1372.225
23.09.2018,8947,9114,8910,9109,990.2900000000002
24.09.2018,9110,9672,9095,9588,1177.4699999999998
25.09.2018,9582,9727,9459,9613,1272.2875
30.09.2018,9468,9587,9118,9367,1254.9175
01.10.2018,9371,9386,8977,9090,1146.5075
02.10.2018,9091,9398,8900,9183,1050.2475
03.10.2018,9180,9317,8986,9028,1168.0600000000004
04.10.2018,9028,9066,8319,8372,1503.2575000000002
09.10.2018,8592,8813,8221,8750,1395.9075
10.10.2018,8750,8778,8369,8453,1191.2150000000004
11.10.2018,8454,8479,8036,8227,640.8199999999999
14.10.2018,8215,8404,8062,8139,567.13
15.10.2018,8137,8208,7864,8161,605.5399999999998
18.10.2018,8459,8513,8250,8341,610.505
21.10.2018,8342,8355,8021,8043,1143.4425
22.10.2018,8042,8044,7376,7523,1719.3100000000002
23.10.2018,7520,7659,7207,7474,1830.2225
24.10.2018,7474,7584,7272,7380,1373.575
29.10.2018,7259,7370,7101,7150,1162.4525
30.10.2018,7146,7456,6987,7433,1182.25
31.10.2018,7440,7489,7210,7275,1156.0575
01.11.2018,7275,7532,7260,7476,1129.725
04.11.2018,7475,7541,7288,7373,1119.7700000000002
07.11.2018,7626,7690,7390,7462,927.3875
08.11.2018,7462,7597,7293,7566,1057.405
11.11.2018,7567,7608,7423,7552,873.2724999999998
12.11.2018,7552,7685,7552,7596,960.135
13.11.2018,7596,7629,7480,7581,1133.1575
18.11.2018,6675,6760,6577,6691,1480.4299999999998
19.11.2018,6693,6842,6386,6464,1304.695
20.11.2018,6465,6548,6068,6194,1162.1925
21.11.2018,6194,6638,6173,6592,1296.4374999999998
22.11.2018,6592,6620,6388,6433,1544.4575
27.11.2018,6431,6729,6321,6662,1149.06
28.11.2018,6664,6771,6605,6631,1123.1825000000003
29.11.2018,6631,6744,6493,6683,1148.9175
02.12.2018,6683,6721,6618,6652,895.08
03.12.2018,6653,6679,5847,6007,1239.8075
06.12.2018,6121,6271,6025,6190,1565.3849999999998
09.12.2018,6190,6211,6073,6124,1303.3524999999995
10.12.2018,6124,6192,5937,6065,1245.8849999999998
11.12.2018,6066,6117,5969,5985,887.6
12.12.2018,5987,5987,5732,5842,1984.905
17.12.2018,6280,6610,6216,6564,1447.1049999999998
18.12.2018,6562,6609,6474,6558,1109.1950000000002
19.12.2018,6558,6725,6354,6627,919.505
20.12.2018,6626,6640,6393,6445,1447.0200000000002
23.12.2018,6448,6570,6392,6509,1212.3925
27.12.2018,6688,6696,6605,6639,1009.2775
30.12.2018,6638,6740,6269,6328,1892.1975
01.01.2019,6333,6343,6217,6294,1272.9025
02.01.2019,6294,6319,6083,6111,1128.695
03.01.2019,6111,6274,6026,6125,968.1875000000002
08.01.2019,6319,6649,6272,6600,893.5899999999998
09.01.2019,6600,7391,6587,7254,972.0699999999998
10.01.2019,7255,7518,7182,7277,618.7800000000001
13.01.2019,7260,7448,7223,7360,841.3275000000001
14.01.2019,7363,7618,7218,7294,1315.14
17.01.2019,7470,7738,7283,7645,1381.515
20.01.2019,7645,8293,7640,8166,1559.0
21.01.2019,8171,8421,7997,8122,1498.0225000000005
22.01.2019,8123,8257,8059,8080,1111.745
23.01.2019,8080,8210,7739,8168,1348.64
28.01.2019,8138,8210,7801,8094,1160.8225
29.01.2019,8097,8138,7606,7633,1291.8125
30.01.2019,7643,7711,7405,7420,1083.7426
31.01.2019,7420,7640,7380,7486,993.025
03.02.2019,7484,7506,7230,7328,563.8196999999999
06.02.2019,6994,7097,6827,6862,2.9439999999999995
07.02.2019,6862,7089,6782,6818,3.5011
10.02.2019,6787,6788,6068,6256,4.370800000000001
11.02.2019,6262,6489,6131,6448,3.3327
12.02.2019,6461,6564,6085,6128,3.7416
17.02.2019,6279,6471,6095,6215,3.7146
18.02.2019,6215,6223,5827,6011,5.390500000000002
19.02.2019,6011,6556,6011,6311,4.602600000000001
20.02.2019,6313,6414,6155,6195,4.3912
21.02.2019,6195,6491,6176,6415,5.5691
26.02.2019,6469,6485,6327,6395,2.9448
27.02.2019,6395,6419,6173,6389,3.4079
28.02.2019,6392,6814,6238,6271,4.205400000000001
03.03.2019,6271,6422,6192,6359,3.3603
04.03.2019,6359,6582,6359,6551,3.1862000000000004
07.03.2019,6619,6703,6595,6664,2.6963
10.03.2019,6663,7065,6654,7023,3.5428
11.03.2019,7023,7060,6852,6985,3.450499999999999
12.03.2019,6985,7003,6739,6854,3.1352000000000007
13.03.2019,6854,7027,6830,6988,2.9717
18.03.2019,7224,7266,7134,7241,2.7452
19.03.2019,7241,7344,7174,7307,2.7821
20.03.2019,7307,7327,6804,6893,3.3786
21.03.2019,6893,6921,6211,6390,5.088
24.03.2019,6390,6472,6269,6385,3.3776
27.03.2019,6328,6333,6154,6245,3.5546999999999995
28.03.2019,6245,6345,6121,6196,3.2731999999999988
31.03.2019,6194,6282,6142,6255,3.6167
01.04.2019,6252,6467,6240,6407,3.0357
02.04.2019,6407,6522,6331,6475,2.8906999999999994
07.04.2019,6441,6470,6150,6156,2.7537000000000003
08.04.2019,6156,6324,6156,6258,2.3155
09.04.2019,6266,6454,6051,6364,1.8971
10.04.2019,6365,6390,6280,6317,1.6960000000000002
11.04.2019,6317,6717,6301,6658,3.7775
16.04.2019,6619,6661,6515,6569,2.4233
17.04.2019,6571,6571,6271,6329,3.3804000000000003
18.04.2019,6329,6485,6316,6442,2.5307000000000004
21.04.2019,6442,6672,6372,6634,2.7068000000000003
22.04.2019,6635,6736,6478,6588,3.4303
25.04.2019,6503,6587,6446,6508,2.4613000000000005
28.04.2019,6506,6553,6400,6486,1.8392000000000004
29.04.2019,6480,6505,6353,6406,2.1052000000000004
30.04.2019,6404,6565,6373,6516,1.6831999999999998
01.05.2019,6512,6548,6472,6509,1.5506
